"temp","species","parameter","percent_change_R0"
28.2,"Ae. aegypti","b",4.88088481701515
28.3,"Ae. aegypti","b",4.88088481701516
28.4,"Ae. aegypti","b",4.88088481701516
28.5,"Ae. aegypti","b",4.88088481701517
28.6,"Ae. aegypti","b",4.88088481701516
28.7,"Ae. aegypti","b",4.88088481701516
28.8,"Ae. aegypti","b",4.88088481701516
28.9,"Ae. aegypti","b",4.88088481701514
29,"Ae. aegypti","b",4.88088481701516
29.1,"Ae. aegypti","b",4.88088481701516
29.2,"Ae. aegypti","b",4.88088481701516
29.3,"Ae. aegypti","b",4.88088481701517
29.4,"Ae. aegypti","b",4.88088481701517
29.5,"Ae. aegypti","b",4.88088481701515
29.6,"Ae. aegypti","b",4.88088481701517
29.7,"Ae. aegypti","b",4.88088481701516
29.8,"Ae. aegypti","b",4.88088481701516
29.9,"Ae. aegypti","b",4.88088481701516
30,"Ae. aegypti","b",4.88088481701516
30.1,"Ae. aegypti","b",4.88088481701514
30.2,"Ae. aegypti","b",4.88088481701515
30.3,"Ae. aegypti","b",4.88088481701517
30.4,"Ae. aegypti","b",4.88088481701516
30.5,"Ae. aegypti","b",4.88088481701516
30.6,"Ae. aegypti","b",4.88088481701517
30.7,"Ae. aegypti","b",4.88088481701515
30.8,"Ae. aegypti","b",4.88088481701514
30.9,"Ae. aegypti","b",4.88088481701517
31,"Ae. aegypti","b",4.88088481701518
31.1,"Ae. aegypti","b",4.88088481701517
31.2,"Ae. aegypti","b",4.88088481701517
31.3,"Ae. aegypti","b",4.88088481701516
31.4,"Ae. aegypti","b",4.88088481701516
31.5,"Ae. aegypti","b",4.88088481701514
31.6,"Ae. aegypti","b",4.88088481701515
31.7,"Ae. aegypti","b",4.88088481701516
31.8,"Ae. aegypti","b",4.88088481701515
31.9,"Ae. aegypti","b",4.88088481701516
32,"Ae. aegypti","b",4.8808848170152
32.1,"Ae. aegypti","b",4.88088481701517
32.2,"Ae. aegypti","b",4.88088481701515
32.3,"Ae. aegypti","b",4.88088481701514
32.4,"Ae. aegypti","b",4.88088481701517
32.5,"Ae. aegypti","b",4.88088481701516
32.6,"Ae. aegypti","b",4.88088481701518
32.7,"Ae. aegypti","b",4.88088481701516
32.8,"Ae. aegypti","b",4.88088481701516
32.9,"Ae. aegypti","b",4.88088481701517
33,"Ae. aegypti","b",4.88088481701517
33.1,"Ae. aegypti","b",4.88088481701515
33.2,"Ae. aegypti","b",4.88088481701514
33.3,"Ae. aegypti","b",4.88088481701515
33.4,"Ae. aegypti","b",4.88088481701515
33.5,"Ae. aegypti","b",4.88088481701516
33.6,"Ae. aegypti","b",4.88088481701514
33.7,"Ae. aegypti","b",4.88088481701516
33.8,"Ae. aegypti","b",4.88088481701515
33.9,"Ae. aegypti","b",4.88088481701516
34,"Ae. aegypti","b",4.88088481701517
